ds,yhat_almoco,yhat_janta
2022-03-16,356.40021587437093,243.3051057824298
2022-03-17,340.0895415763375,239.48238647089988
2022-03-18,289.60751562121874,161.35579787784823
2022-03-21,314.73671803847026,225.2816732464861
2022-03-22,363.9070393786081,266.75476779156713
2022-03-23,361.95531541036013,246.35557281072823
2022-03-24,345.7456279414725,243.9958254652757
2022-03-28,320.51201118618155,235.56203630565767
2022-03-29,369.40105221174963,278.0545904207873
2022-03-30,366.98186043432514,258.38087593762975
2022-03-31,350.10668034744396,256.4120963087313
2022-04-01,298.8896337468182,179.85837359451017
2022-04-04,320.37302223155126,245.88279471414643
2022-04-05,367.79811173925333,286.9805830594532
2022-04-06,363.8553919431121,265.62634021568755
2022-04-07,345.4449340100546,261.7415699503106
2022-04-08,292.7316122692333,183.0948433128141
2022-04-11,310.47383368919833,242.44149143353545
2022-04-12,357.0620045563544,281.4124373988706
2022-04-13,352.557008434737,258.0945821052795
2022-04-18,301.31453040191553,229.45793375485215
2022-04-19,349.3603773703636,268.4702400320056
2022-04-20,346.6250212064747,245.60647650870317
2022-04-25,307.5331266600788,224.7443084550655
2022-04-26,358.3067044203204,266.1303253933938
2022-04-27,358.2595607338376,245.78103890086038
2022-04-28,344.23052276342037,243.60459351519788
2022-04-29,296.3089465077635,167.33584412447226
2022-05-02,329.95806055890955,237.21517199693403
2022-05-03,382.0067587761013,280.5423578109933
2022-05-04,382.8533775683194,261.8276094663779
2022-05-05,369.3162280772872,260.93625458940596
2022-05-06,321.4737510640121,185.56995385236024
2022-05-09,352.92224236342054,255.68932724542756
2022-05-10,403.48600079587607,298.27300388760125
2022-05-11,402.525110961549,278.43029672166733
2022-05-12,386.9016536535928,276.05867551865447
2022-05-13,336.7443198240529,198.90126879972303
2022-05-16,360.44950903444493,262.3105222262948
2022-05-17,408.3701072890691,302.41525152299033
2022-05-18,404.83850163072907,280.08187000087725
2022-05-19,386.7764868812318,275.274338084508
2022-05-20,334.3688232984439,195.800301619056
2022-05-23,352.930637596632,253.55492816634174
2022-05-24,399.7966284508037,292.3671021134442
2022-05-25,395.581439106734,269.09677268990606
2022-05-26,377.21763938431263,263.72898736701586
2022-05-27,324.8910128222733,184.081854875432
2022-05-30,345.8573119683882,243.58172746101363
2022-05-31,394.1537267712024,283.6581369292381
2022-06-01,391.6166102016954,261.93268822924597
2022-06-02,375.127627384744,258.3413502107526
2022-06-03,324.8159720061484,180.6463795812646
2022-06-06,352.0443445491337,246.42853105002672
2022-06-07,402.28321828886516,288.5197181621245
2022-06-08,401.50795750826495,268.6589385662028
2022-06-09,386.53874106035886,266.7196174446228
